text,label
"I am absolutely furious about what happened today",anger
"Stop interrupting me every single time I speak",anger
"This is the third time they cancelled on me and I am done",anger
"How dare he lie to my face like that",anger
"I could scream I am so mad right now",anger
"The customer service was a complete waste of my time",anger
"Why does nobody ever listen to a word I say",anger
"I am sick and tired of being treated like this",anger
"He slammed the door and stormed out of the room",anger
"That referee made the worst call I have ever seen",anger
"My blood is boiling after reading that email",anger
"They broke their promise again and I have had enough",anger
"I hate when people cut in line like they own the place",anger
"Get out of my way before I completely lose it",anger
"She yelled at the poor kid for absolutely no reason",anger
"I cannot believe you went behind my back like this",anger
"This endless traffic is driving me completely insane",anger
"You had no right to touch my things without asking",anger
"The whole situation makes me want to punch a wall",anger
"Quit wasting my time with your pathetic excuses",anger
"I am outraged that they charged my card twice",anger
"He keeps mocking me and it is absolutely infuriating",anger
"Enough is enough I will not tolerate this anymore",anger
"They ignored my complaint for the tenth time running",anger
"I am seething after that pointless three hour meeting",anger
"Who gave you permission to read my private messages",anger
"It drives me crazy when the call drops every minute",anger
"The neighbors blasting music at 3am again is maddening",anger
"I have never been so disrespected in my entire life",anger
"Stop making excuses and just fix the stupid problem",anger
"That comment was rude and completely uncalled for",anger
"I am fed up with the constant delays and broken promises",anger
"Do not test my patience today of all days",anger
"He cheated and then had the nerve to blame me for it",anger
"My hands are shaking because I am so angry",anger
"That smell coming from the fridge is absolutely revolting",disgust
"I nearly threw up when I saw the moldy bread",disgust
"Ugh who left this slimy mess all over the counter",disgust
"The bathroom was so filthy that I could not use it",disgust
"His table manners are genuinely repulsive to watch",disgust
"There were maggots in the trash can and I gagged",disgust
"That is honestly the grossest thing I have ever tasted",disgust
"I cannot stand the sight of rotten spoiled food",disgust
"The way he chews with his mouth open makes me sick",disgust
"Someone spat on the sidewalk right in front of me",disgust
"This milk has gone sour and it smells disgusting",disgust
"The dumpster behind the diner reeks of pure decay",disgust
"I found a long hair in my soup and lost my appetite",disgust
"Those unwashed dishes have been rotting for a week",disgust
"The public toilet was crawling with cockroaches",disgust
"Just looking at that infected wound turns my stomach",disgust
"He picked his nose and then tried to shake my hand",disgust
"The gym locker room smells like sweat and mildew",disgust
"That expired meat looks slimy and slightly green",disgust
"I gagged at the stench of the overflowing bin",disgust
"Cleaning up the dog mess this morning made me nauseous",disgust
"The soggy forgotten leftovers smelled absolutely vile",disgust
"Why would anyone eat something that rancid and old",disgust
"There is thick grime caked all over this keyboard",disgust
"The kitchen sink is clogged with something foul",disgust
"That kind of cruel behavior is morally repugnant to me",disgust
"Seeing the roadkill on the way home was sickening",disgust
"The cheese was so pungent that it made me retch",disgust
"His greasy fingerprints are smeared all over the screen",disgust
"I shuddered at the cockroach scuttling across the floor",disgust
"The moldy shower curtain is beyond nasty and needs tossing",disgust
"Rotten eggs have the single most repulsive odor",disgust
"I cannot believe they actually served food this spoiled",disgust
"The crusty old sponge was clearly breeding bacteria",disgust
"That is vile and I never want to see it again",disgust
"The bin juice dripped on my hand and I nearly vomited",disgust
"I heard slow footsteps behind me in the dark alley",fear
"My heart is pounding and I simply cannot stop shaking",fear
"What if something truly terrible happens to them tonight",fear
"The sudden turbulence made me grip the seat in terror",fear
"I am terrified of what the doctor might tell me tomorrow",fear
"There is someone at the window and I am home alone",fear
"I completely froze when I saw the shadow move",fear
"The thought of losing my job keeps me awake at night",fear
"I cannot breathe I think I am having a panic attack",fear
"The storm is getting closer and the lights just went out",fear
"I am too scared to walk home by myself this late",fear
"Something is lurking under the bed I can feel it",fear
"My hands went ice cold when I heard the scream",fear
"I dread opening that letter from the bank",fear
"The bridge is so high that I feel dizzy looking down",fear
"I am so afraid they will not make it in time",fear
"A stranger has been following me for three whole blocks",fear
"The floor creaked and my whole body tensed up",fear
"I panicked when I could not find my child in the crowd",fear
"What on earth was that noise coming from the basement",fear
"I am absolutely petrified of spiders crawling on me",fear
"The plane dropped suddenly and everyone around me gasped",fear
"I keep imagining the worst possible outcome over and over",fear
"My stomach dropped when the phone rang at 3am",fear
"I am frightened to be alone in this creaky old house",fear
"The dog growled at me so I backed away very slowly",fear
"I trembled as the test results loaded on the screen",fear
"Please do not leave me here alone in the dark",fear
"I have a horrible feeling that we are being watched",fear
"The elevator jolted hard and I braced for the worst",fear
"I am scared that this might be the end for us",fear
"My throat tightened as the sirens grew louder outside",fear
"I dread hearing the results of the biopsy",fear
"Every single shadow tonight makes me flinch",fear
"I woke up gasping and sweating from a nightmare",fear
"I got the job offer and I cannot stop smiling",joy
"We are finally getting married next spring",joy
"She said yes and my heart is completely overflowing",joy
"What a beautiful sunny morning to be alive",joy
"I passed all my exams with flying colors",joy
"Holding my newborn for the first time was pure magic",joy
"We won the championship and the whole crowd went wild",joy
"I am so grateful for these wonderful supportive friends",joy
"The surprise party absolutely made my entire year",joy
"Dancing in the warm rain with you was pure bliss",joy
"I finally paid off every last one of my student loans",joy
"Grandma cooking always fills me with warmth and happiness",joy
"The sound of the kids laughing is the best in the world",joy
"I aced the interview and they hired me on the spot",joy
"This whole vacation has been an absolute dream come true",joy
"My best friend is coming home after two long years",joy
"I feel as light as a feather this morning",joy
"We adopted the sweetest little puppy this weekend",joy
"Watching the sunrise from the mountain peak was breathtaking",joy
"I am absolutely bursting with excitement for the trip",joy
"Everything is finally falling perfectly into place",joy
"The concert last night was completely unforgettable",joy
"I feel like I could hug the entire world right now",joy
"Seeing how proud my parents are means everything to me",joy
"We danced together until dawn and it was perfect",joy
"I just booked my dream trip across Japan",joy
"The garden is blooming and so is my mood",joy
"I am thrilled to announce that we are expecting a baby",joy
"That wonderful news made me literally jump for joy",joy
"Reuniting with my old classmates was so heartwarming",joy
"I love slow lazy Sunday mornings with coffee and books",joy
"The whole team celebrated our big win together",joy
"My heart is so full watching them graduate today",joy
"I honestly cannot wait to start this new adventure",joy
"Today just feels absolutely and completely wonderful",joy
"I miss her more than words could ever possibly say",sadness
"The whole house feels so empty since he left",sadness
"I have been crying myself to sleep for weeks now",sadness
"Nothing ever feels the same without you here",sadness
"I lost my grandfather early this morning",sadness
"The rejection letter completely crushed my spirit",sadness
"I feel so alone even in a crowded room full of people",sadness
"We had to put our sweet old dog down today",sadness
"My heart aches every time I glance at her photo",sadness
"I do not have the energy to even get out of bed",sadness
"Everyone forgot my birthday again this year",sadness
"The long goodbye at the airport completely broke me",sadness
"I failed the exam that I studied so hard for",sadness
"It hurts knowing that we will never speak again",sadness
"The heavy silence in the house is deafening",sadness
"I wish I could go back and change how things ended",sadness
"I feel like I am slowly losing everyone I love",sadness
"The tears just will not stop coming tonight",sadness
"He did not even look back as he walked away",sadness
"I am drowning in this endless loneliness",sadness
"Watching them drive away left a hole in my chest",sadness
"I gave it my absolute all and still was not enough",sadness
"The old memories only make the loss feel sharper",sadness
"I sat alone at a table that was set for two",sadness
"My childhood home was sold off to strangers",sadness
"I cannot seem to shake this heavy feeling of grief",sadness
"Another holiday spent completely by myself",sadness
"The letter simply said that he was not coming back",sadness
"I feel invisible to all the people I care about",sadness
"It has been a whole year and it still hurts so much",sadness
"I quietly wept through the entire funeral service",sadness
"Losing that friendship has left me feeling hollow",sadness
"The empty crib is far more than I can bear",sadness
"I feel so worthless and unwanted lately",sadness
"Every night I just stare at the ceiling and ache",sadness
"I am so angry that I can barely think straight",anger
"This is completely unfair and it makes me furious",anger
"I am mad at myself for trusting him again",anger
"Nothing makes me angrier than being flat out ignored",anger
"I am absolutely livid about the way they treated us",anger
"Stop it right now because you are making me furious",anger
"I hate how they always take credit for my work",anger
"It really irritates me when people are late every time",anger
"I am beyond frustrated with this completely broken system",anger
"The way she lied to me makes me so angry",anger
"I am fuming after they rejected my request again",anger
"Being treated like this makes my anger boil over",anger
"I am furious that no one warned me about the change",anger
"It makes me mad when people ignore the basic rules",anger
"I am so annoyed I could throw my phone across the room",anger
"Their rudeness left me shaking with pure rage",anger
"I am angry and hurt that you forgot our plans",anger
"This unfair decision makes my blood run hot",anger
"I am irritated by every little thing today",anger
"How can they be so careless it makes me furious",anger
"I am mad that they wasted an entire week of my time",anger
"The constant lying makes me absolutely furious",anger
"I am pissed off that the flight was cancelled again",anger
"It angers me to see people cheat and get away with it",anger
"I am so frustrated I want to scream into a pillow",anger
"They lied again and now I am truly furious",anger
"Nothing infuriates me more than broken promises",anger
"I am livid that my hard work went completely unnoticed",anger
"The sheer unfairness of it all makes me want to yell",anger
"I am angry every time I think about what he said",anger
"It drives me mad that they never once apologize",anger
"I am furious about being blamed for their mistake",anger
"My anger flared the moment I heard the lame excuse",anger
"I am so mad that I slammed my laptop shut",anger
"Being cut off in traffic makes me instantly furious",anger
"I am fed up and angry with the endless excuses",anger
"It makes me furious when my time is disrespected",anger
"I am annoyed and angry at how slow this is going",anger
"The betrayal left me seething with rage",anger
"I am mad that they changed the rules without telling us",anger
"That is so disgusting I cannot even look at it",disgust
"The gross smell made my stomach turn instantly",disgust
"This is the most revolting mess I have ever seen",disgust
"I feel sick just thinking about that rotten smell",disgust
"The filthy kitchen was absolutely disgusting",disgust
"Something about that slime is deeply revolting",disgust
"That nasty stain has been sitting there for months",disgust
"The rotten fruit smelled foul and made me gag",disgust
"It is disgusting how they left the place so dirty",disgust
"The gross sight of the spoiled milk made me sick",disgust
"That vile odor is coming from the drain again",disgust
"I find the whole filthy thing utterly repulsive",disgust
"The moldy corner of the room is truly disgusting",disgust
"My stomach churned at the sight of the caked grime",disgust
"That is nasty and I want nothing to do with it",disgust
"The rotten smell of the bin is absolutely vile",disgust
"It is disgusting to leave dirty dishes for days",disgust
"The foul mess in the sink made me nauseous",disgust
"That gross habit of his makes me sick to my stomach",disgust
"The filthy bathroom was genuinely revolting",disgust
"I gagged at the disgusting smell in the fridge",disgust
"That rotten meat is nasty beyond any words",disgust
"The sight of the mold made my skin crawl",disgust
"It is revolting how filthy this place has become",disgust
"That vile stench is enough to make anyone sick",disgust
"The gross layer of grease is deeply disgusting",disgust
"I feel sick looking at that nasty pile of trash",disgust
"The rotten eggs smell foul and utterly repulsive",disgust
"That is disgusting and it turns my stomach",disgust
"The nasty spill has been rotting on the floor",disgust
"It is revolting to see such filthy conditions",disgust
"The gross smell of decay lingers in the hallway",disgust
"That vile mess honestly makes me want to gag",disgust
"I am disgusted by how dirty the counters are",disgust
"The foul taste made me spit it out immediately",disgust
"That rotten stench is absolutely sickening",disgust
"It is disgusting how they let the food spoil",disgust
"The nasty grime on the window is revolting",disgust
"My stomach turned at the disgusting rotten sight",disgust
"That is gross and I never want to smell it again",disgust
"I am so scared that I can hardly move",fear
"The fear crept in the moment the lights went out",fear
"I am terrified of what might be waiting outside",fear
"My heart raced with fear as the door creaked open",fear
"I am afraid something bad is about to happen",fear
"The panic rose in my chest as the alarm blared",fear
"I am nervous and scared about the surgery tomorrow",fear
"I dread the very thought of being alone tonight",fear
"I am frightened by the noises in the attic",fear
"Fear gripped me as the car skidded on the ice",fear
"I am so anxious and scared that I cannot sleep",fear
"The dark hallway fills me with cold dread",fear
"I am terrified that I will fail and lose everything",fear
"My hands are trembling with fear right now",fear
"I am afraid to open the door and look outside",fear
"A wave of panic hit me when the phone went silent",fear
"I am scared of what the uncertain future might hold",fear
"The fear of falling kept me frozen on the ledge",fear
"I am so nervous my whole body is shaking",fear
"I dread walking past that empty house at night",fear
"I am frightened by how quiet everything suddenly became",fear
"Fear washed over me as the storm grew louder",fear
"I am terrified that they will not come back",fear
"My chest tightened with panic as the crowd surged",fear
"I am scared to death of what comes next",fear
"The worry and fear are keeping me wide awake",fear
"I am afraid of the dark like a small child",fear
"Panic set in when I realized I was completely lost",fear
"I am so scared that even my voice is shaking",fear
"The dread of bad news hangs over me all day",fear
"I am frightened every time the old floor creaks",fear
"Fear rushed through me at the sudden loud bang",fear
"I am terrified of losing the people I love",fear
"My stomach knots with fear before every flight",fear
"I am scared and I honestly do not know what to do",fear
"The panic makes it so hard to catch my breath",fear
"I am afraid this nightmare will never truly end",fear
"I dread the moment I have to face them again",fear
"I am nervous and frightened about the results",fear
"Fear has kept me locked inside all week",fear
"I am so happy I could dance around the room",joy
"Pure joy filled my heart the moment I saw them",joy
"I am thrilled and excited about the wonderful news",joy
"I feel so grateful and happy to be here today",joy
"This lovely surprise made me absolutely delighted",joy
"I am glad we finally get to spend time together",joy
"My heart is bursting with joy and love",joy
"I am so excited that I can barely sit still",joy
"What a happy and wonderful day this has been",joy
"I am delighted that everything worked out so well",joy
"Joy washed over me as the whole crowd cheered",joy
"I am thrilled to finally see my dream come true",joy
"I feel cheerful and light on this sunny morning",joy
"I am so happy and grateful for this moment",joy
"Being with my family fills me with pure joy",joy
"I am excited and happy about starting the new job",joy
"This is such a wonderful and joyful celebration",joy
"I am delighted by how kind everyone has been",joy
"My heart sings with joy every time I see her",joy
"I am so glad and thankful for this chance",joy
"Happiness bubbled up the moment I heard the news",joy
"I am thrilled and grateful beyond any words",joy
"What a joyful reunion this turned out to be",joy
"I am so happy that I simply cannot stop grinning",joy
"This wonderful gift left me delighted and touched",joy
"I feel blissful and happy on this perfect day",joy
"I am excited and full of joy for the journey ahead",joy
"My whole heart is warm and happy tonight",joy
"I am glad and grateful for all these blessings",joy
"Joy and laughter filled the entire room",joy
"I am thrilled that we finally made it happen",joy
"This is the happiest and most joyful moment",joy
"I am so delighted to share this wonderful news",joy
"Happiness flooded through me as we hugged",joy
"I am cheerful and excited about tomorrow",joy
"My heart overflows with joy and gratitude",joy
"I am so happy and content with life right now",joy
"This wonderful day has filled me with pure joy",joy
"I am thrilled and delighted by the warm welcome",joy
"I feel joyful and grateful for every little thing",joy
"I am so sad that I can barely speak",sadness
"The grief washes over me every single morning",sadness
"I miss them so much that my heart aches",sadness
"I feel lonely and empty without them here",sadness
"I am heartbroken over how everything ended",sadness
"Tears keep falling and I cannot make them stop",sadness
"I am sad and tired of feeling so alone",sadness
"The sorrow of losing him is too much to bear",sadness
"I feel empty and hurt after the long goodbye",sadness
"My heart is heavy with grief tonight",sadness
"I am so sad that I cannot even manage a smile",sadness
"The loneliness makes the nights feel endless",sadness
"I miss the way things used to be so much",sadness
"I am heartbroken and my tears will not stop",sadness
"A deep sadness has settled over me lately",sadness
"I feel so lonely even when people are around",sadness
"The grief comes in waves that knock me down",sadness
"I am sad and empty and I do not know why",sadness
"My heart aches with sorrow every single day",sadness
"I cry myself to sleep missing what we had",sadness
"I am heartbroken that they are truly gone",sadness
"The sadness sits in my chest like a heavy stone",sadness
"I feel hollow and lonely in this quiet house",sadness
"I miss her voice and it quietly breaks my heart",sadness
"I am so sad and hurt by what they said",sadness
"Grief has stolen all the color from my days",sadness
"I feel empty and sad with no reason to smile",sadness
"The tears come every time I remember them",sadness
"I am lonely and heartbroken again tonight",sadness
"My sorrow grows heavier with each passing day",sadness
"I am so sad that nothing feels worth doing",sadness
"The ache of missing them never really fades",sadness
"I feel broken and alone after the loss",sadness
"I am heartbroken and drowning in sorrow",sadness
"The loneliness of the empty room crushes me",sadness
"I miss them terribly and my heart is sore",sadness
"I am sad and weary from all this grief",sadness
"Tears blur my eyes whenever I think of home",sadness
"I feel so lonely and forgotten by everyone",sadness
"The sadness weighs on me like a heavy blanket",sadness
